"name","start"
"Consejo Comunitario Palenque De La Vereda Las Trescientas - afro",NA
"Consejo Comunitario La Pedregoza - afro",NA
"Los Mangos - afro",NA
"Consejo Comunitario Conafros - afro",NA
"Consejo Comunitario La Nueva Esperanza De Lomita - afro",NA
"Consejo Comunitario Antonio Sajon (Coansa) - afro",NA
"Consejo Comunitario Asocone - afro",NA
"Consejo Comunitario De Comunidades Negras Socolando - afro",NA
"Consejo Comunitario Bellavista - afro",NA
"Consejo Comunitario De Comunidades Negra Campo Alegre _ Vereda Versalles - afro",NA
"Consejo Comunitario Las Brisas (La Betulia) - afro",NA
"Consejo Comunitario Magen De Mi - afro",NA
"Palenque La Torre - afro",NA
"Consejo Comunitario Rio Palo - afro",NA
"Consejo Comunitario Versabal - afro",NA
"Consejo Comunitario Fernando Rios Hidalgo - afro",NA
"Consejo Comunitario Afroitaibe Cocoitaibe - afro",NA
"Consejo Comunitario El Saman - afro",NA
"Consejo Comunitario Mango De La Pua 2 - afro",NA
"Consejo Comunitario Asnazu (Piedra Pintada Piedra Escrita) - afro",NA
"Asociacion Afrocolombiana De La Sierra Sector Occidente """"Afrosiso"""" - afro",NA
"Los Palenques De Juan Y Medio - afro",NA
"Rio Baudo  Acaba - afro",NA
"Bellavista Dubaza - afro",NA
"Rio Cacarica - afro",NA
"Consejo Comunitario El Naranjo Ubicado En La Vereda Villa Rica - afro",NA
"Consejo Comunitario Santo Domingo - afro",NA
"La Florida Patia - afro",NA
"Consejo Comunitario Panama De Arauca - afro",NA
"La Nueva Esperanza - afro",NA
"Mayor De La Cuenca Media Y Alta Del Rio Dagua - afro",NA
"Consejo Comunitario La Diaspora - afro",NA
"Consejo Comunitario Afro La Esperanza - afro",NA
"Consejo Comunitario De La Comunidad Negra Del Corregimiento De La Soledad - afro",NA
"Truando Medio - afro",NA
"Consejo Comunitario Bocas De Taparal - afro",NA
"Consejo Comun Integracion Del Rio Chuare - afro",NA
"La Mamuncia, Parte Media Del Rio Micay - afro",NA
